date,/m/0cycc,isPartial
2014-01-05,0,False
2014-01-12,0,False
2014-01-19,0,False
2014-01-26,0,False
2014-02-02,0,False
2014-02-09,0,False
2014-02-16,0,False
2014-02-23,0,False
2014-03-02,0,False
2014-03-09,0,False
2014-03-16,0,False
2014-03-23,0,False
2014-03-30,0,False
2014-04-06,0,False
2014-04-13,0,False
2014-04-20,0,False
2014-04-27,0,False
2014-05-04,0,False
2014-05-11,0,False
2014-05-18,0,False
2014-05-25,0,False
2014-06-01,0,False
2014-06-08,0,False
2014-06-15,0,False
2014-06-22,0,False
2014-06-29,0,False
2014-07-06,0,False
2014-07-13,0,False
2014-07-20,0,False
2014-07-27,0,False
2014-08-03,0,False
2014-08-10,0,False
2014-08-17,0,False
2014-08-24,0,False
2014-08-31,0,False
2014-09-07,0,False
2014-09-14,0,False
2014-09-21,0,False
2014-09-28,0,False
2014-10-05,0,False
2014-10-12,0,False
2014-10-19,0,False
2014-10-26,0,False
2014-11-02,0,False
2014-11-09,0,False
2014-11-16,0,False
2014-11-23,0,False
2014-11-30,0,False
2014-12-07,0,False
2014-12-14,0,False
2014-12-21,0,False
2014-12-28,0,False
2015-01-04,0,False
2015-01-11,0,False
2015-01-18,0,False
2015-01-25,0,False
2015-02-01,0,False
2015-02-08,0,False
2015-02-15,0,False
2015-02-22,0,False
2015-03-01,0,False
2015-03-08,0,False
2015-03-15,0,False
2015-03-22,0,False
2015-03-29,0,False
2015-04-05,0,False
2015-04-12,0,False
2015-04-19,0,False
2015-04-26,0,False
2015-05-03,0,False
2015-05-10,0,False
2015-05-17,0,False
2015-05-24,0,False
2015-05-31,0,False
2015-06-07,0,False
2015-06-14,0,False
2015-06-21,0,False
2015-06-28,0,False
2015-07-05,0,False
2015-07-12,0,False
2015-07-19,0,False
2015-07-26,0,False
2015-08-02,0,False
2015-08-09,0,False
2015-08-16,0,False
2015-08-23,0,False
2015-08-30,0,False
2015-09-06,0,False
2015-09-13,0,False
2015-09-20,0,False
2015-09-27,0,False
2015-10-04,0,False
2015-10-11,0,False
2015-10-18,0,False
2015-10-25,0,False
2015-11-01,0,False
2015-11-08,0,False
2015-11-15,0,False
2015-11-22,0,False
2015-11-29,0,False
2015-12-06,0,False
2015-12-13,0,False
2015-12-20,0,False
2015-12-27,0,False
2016-01-03,0,False
2016-01-10,0,False
2016-01-17,0,False
2016-01-24,0,False
2016-01-31,0,False
2016-02-07,0,False
2016-02-14,0,False
2016-02-21,0,False
2016-02-28,0,False
2016-03-06,0,False
2016-03-13,0,False
2016-03-20,0,False
2016-03-27,0,False
2016-04-03,0,False
2016-04-10,0,False
2016-04-17,0,False
2016-04-24,0,False
2016-05-01,0,False
2016-05-08,0,False
2016-05-15,0,False
2016-05-22,0,False
2016-05-29,0,False
2016-06-05,0,False
2016-06-12,0,False
2016-06-19,0,False
2016-06-26,0,False
2016-07-03,0,False
2016-07-10,0,False
2016-07-17,0,False
2016-07-24,0,False
2016-07-31,0,False
2016-08-07,0,False
2016-08-14,0,False
2016-08-21,0,False
2016-08-28,0,False
2016-09-04,0,False
2016-09-11,0,False
2016-09-18,0,False
2016-09-25,0,False
2016-10-02,0,False
2016-10-09,0,False
2016-10-16,0,False
2016-10-23,0,False
2016-10-30,0,False
2016-11-06,0,False
2016-11-13,0,False
2016-11-20,0,False
2016-11-27,0,False
2016-12-04,0,False
2016-12-11,0,False
2016-12-18,0,False
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,0,False
2017-04-02,0,False
2017-04-09,0,False
2017-04-16,0,False
2017-04-23,0,False
2017-04-30,0,False
2017-05-07,6,False
2017-05-14,6,False
2017-05-21,6,False
2017-05-28,6,False
2017-06-04,5,False
2017-06-11,5,False
2017-06-18,4,False
2017-06-25,4,False
2017-07-02,4,False
2017-07-09,5,False
2017-07-16,5,False
2017-07-23,4,False
2017-07-30,4,False
2017-08-06,5,False
2017-08-13,6,False
2017-08-20,6,False
2017-08-27,7,False
2017-09-03,8,False
2017-09-10,11,False
2017-09-17,13,False
2017-09-24,16,False
2017-10-01,20,False
2017-10-08,17,False
2017-10-15,18,False
2017-10-22,18,False
2017-10-29,16,False
2017-11-05,15,False
2017-11-12,17,False
2017-11-19,11,False
2017-11-26,14,False
2017-12-03,20,False
2017-12-10,21,False
2017-12-17,28,False
2017-12-24,39,False
2017-12-31,43,False
2018-01-07,65,False
2018-01-14,85,False
2018-01-21,92,False
2018-01-28,100,False
2018-02-04,87,False
2018-02-11,73,False
2018-02-18,40,False
2018-02-25,28,False
2018-03-04,19,False
2018-03-11,16,False
2018-03-18,14,False
2018-03-25,15,False
2018-04-01,12,False
2018-04-08,10,False
2018-04-15,9,False
2018-04-22,8,False
2018-04-29,7,False
2018-05-06,6,False
2018-05-13,5,False
2018-05-20,5,False
2018-05-27,5,False
2018-06-03,5,False
2018-06-10,5,False
2018-06-17,4,False
2018-06-24,4,False
2018-07-01,3,False
2018-07-08,4,False
2018-07-15,4,False
2018-07-22,4,False
2018-07-29,4,False
2018-08-05,4,False
2018-08-12,5,False
2018-08-19,6,False
2018-08-26,7,False
2018-09-02,10,False
2018-09-09,12,False
2018-09-16,14,False
2018-09-23,19,False
2018-09-30,21,False
2018-10-07,22,False
2018-10-14,27,False
2018-10-21,24,False
2018-10-28,22,False
2018-11-04,18,False
2018-11-11,17,False
2018-11-18,13,False
2018-11-25,16,False
2018-12-02,15,False
2018-12-09,14,False
2018-12-16,17,False
2018-12-23,20,False
2018-12-30,23,False
